id,meta_value,post_parent,post_title,Post_Content,post_excerpt,post_name,post_type,post_status
21756,24903,3079,پیراشکی پنیر و پیازچه بامیکا - 500 گرم±5%,,وزن: 500 گرم±5%,%d9%be%db%8c%d8%b1%d8%a7%d8%b4%da%a9%db%8c-%d9%be%d9%86%db%8c%d8%b1-%d9%88-%d9%be%db%8c%d8%a7%d8%b2%da%86%d9%87-%d8%a8%d8%a7%d9%85%db%8c%da%a9%d8%a7-2,product_variation,publish
3108,24075,0,کلاب اسفناج و پنیر بامیکا,مواد تشکیل دهنده:  (اسفناج، پیاز داغ، پنیر لبنه، نان تست، پودر سیر، تخم مرغ، فلفل سیاه),,%da%a9%d9%84%d8%a7%d8%a8-%d8%a7%d8%b3%d9%81%d9%86%d8%a7%d8%ac-%d9%88-%d9%be%d9%86%db%8c%d8%b1-%d8%a8%d8%a7%d9%85%db%8c%da%a9%d8%a7,product,publish
3109,23066,0,ساندویچ فلافل بامیکا,مواد تشکیل دهنده:  (فلافل، نان باگت),,%d8%b3%d8%a7%d9%86%d8%af%d9%88%db%8c%da%86-%d9%81%d9%84%d8%a7%d9%81%d9%84-%d8%a8%d8%a7%d9%85%db%8c%da%a9%d8%a7,product,publish
3110,23056,0,ساندویچ کوکو سبزی بامیکا,"<h2>ساندویچ کوکو سبزی</h2>  ساندویچ کوکو سبزی غذای بی‌نظیری است که برای دستور تهیه آن از سیب زمینی و سبزی و سایر مواد غذایی مختلف استفاده می‌شود. ایرانی‌ها عاشق عطر <a href=""https://shop.bamika.ir/product-category/fruits-and-vegetables/vegetables/"">سبزی‌هایی</a> هستند که سفره و غذایشان را خوش آب و رنگ‌تر و جذابتر از همیشه می‌کنند. از قرمه سبزی گرفته تا سبزی‌‍پلو و حتی کوکو سبزی همیشه پای ثابت سفره‌های ایرانی بوده است. کوکوی سبزی یکی از محبوب ترین و پر طرفدارترین کوکوهای ایرانی است. این کوکوی خوشمزه همانطور که از نامش مشخص است از سبزیجات معطر <a href=""https://parsiday.com/780-kookoo-sabzi/"">تهیه</a> می شود.    کوکو سبزی از غذاهایی محسوب می شود که تقریبا کالری آن معمولی است و همه می توانند از خوردن آن لذت ببرند. کالری کوکو سبزی در این رسپی به طور متوسط برای هر نفر بین ۱۸۰ تا ۲۲۰ کالری است که البته در دستورهای متفاوت این عدد متغیر است.  <h3>خوشمزه و بهداشتی</h3>  استفاده از غذاهای آماده و نیمه آماده یک راه حل کاربردی برای افراد پرمشغله است که فرصت کافی برای پخت انواع غذا را ندارند. مجموعه بامیکا با تولید انواع غذاهای آماده و سالم امکان دسترسی فوری افراد به غذاهایی با اصالت خانگی را فراهم کرده است.    این غذای محافظِ روده  در بسته های یک نفره تولید شده است؛  و میتوان با گرم کردن در مایکروویو با خیالی آسوده از بهداشتی بودن محصول، آن را سرو کرد. اگر به دنبال غذایی فوری و  درعین حال سلامت هستید، ساندویچ کوکو سبزی یک وعده جذاب برای شماست.",😋 <strong>اگر ساندویچ کوکوسبزی بامیکا را نوش جان کردید، نظر خودرا باما به اشتراک بگذارید.</strong>  <h3>مواد اولیه 🥣</h3>  <ul>    <li>نان ساندویچی</li>    <li>کوکو سبزی</li>    <li>خیارشور</li>    <li>گوجه زیتونی</li>    <li>سس فرانسوی</li>  </ul>,bamika-vegetable-coco-sandwich,product,publish
3111,23055,0,ساندویچ کتلت گوشت بامیکا,"<h2>ساندویچ کتلت</h2>  کُتلت (<span lang=""fr"">côtelette</span>) یا شامی کباب از غذاهای پُرسی هستند. این غذای لذیذ و پرطرفدار، طعم کمی چرب و گوشتی دارد و با گوشت، سیب‌زمینی، تخم‌مرغ و پیاز تهیه می‌شود و معمولاً بدون برنج و با نان و به صورت داغ سِرو می‌شود و در بیشتر استان‌های کشور به‌ویژه مازندران رواج دارد. این غذا را می‌توان به‌عنوان غذای آماده، غذای سفر یا ساندویچ سرد نیز مصرف کرد. کتلت یکی از غذاهای پرطرفدار است که <a href=""https://blog.okala.com/how-to-make-kotlet/"">انواع</a> مختلفی دارد و معمولاً به عنوان شام سرو می شود. کتلت یکی از <strong><a href=""https://shop.bamika.ir/product-category/foods/main-course/iranian-food/"">غذاهای پر طرفدار ایرانی</a></strong> است.  <h2>خوشمزه و بهداشتی</h2>  استفاده از غذاهای آماده و نیمه آماده یک راه حل کاربردی برای افراد پرمشغله است که فرصت کافی برای پخت انواع غذا را ندارند. مجموعه بامیکا با تولید انواع غذاهای آماده و سالم امکان دسترسی فوری افراد به غذاهایی با اصالت خانگی را فراهم کرده است.    این غذای خوشمزه  در بسته های یک نفره تولید شده است؛  و میتوان با گرم کردن در مایکروویو با خیالی آسوده از بهداشتی بودن محصول، آن را سرو کرد. اگر به دنبال غذایی فوری و  درعین حال سلامت هستید، ساندویچ کتلت گوشت یک وعده جذاب برای شماست.  <h3>تیم صنایع غذایی بامیکا</h3>  همواره تلاش می‌کند تا از تازه ترین مواد اولیه، سالم ترین خوراکیه دلپذیر را با تنوعی رنگین و کیفیت بسیار برای شما و خانواده عزیزتان تولید کند.  تمام فرآیند تولید محصولات بامیکا در محیطی پاکیزه و تحت نظر بازرسان بهداشتی انجام می‌گردد.",😋 <strong>اگر ساندویچ کتلت گوشت بامیکا را نوش جان کردید، نظر خودرا باما به اشتراک بگذارید.</strong>  <h3>مواد اولیه 🥣</h3>  <ul>    <li>نان ساندویچی</li>    <li>کتلت گوشت</li>    <li>پیاز و جعفری تازه</li>    <li>خیارشور</li>    <li>گوجه زیتونی</li>    <li>کاهو پیچ</li>    <li>سس کچاپ</li>  </ul>,bamika-meat-cutlet-sandwich,product,publish
3112,23054,0,ساندویچ الویه بامیکا,"<h2>سالاد الویه</h2>  سالاد الویه یکی از <strong><a href=""https://shop.bamika.ir/product-category/foods/"">محبوب‌ترین غذاهای آماده</a></strong> در بین مردم ایران است، ترکیب موادغذایی متنوع و خوشمزه در کنار سس مایونز باعث شده که از کودک ۱ ساله تا یک فرد ۱۰۰ ساله طرفدار آن باشند. به گمان بسیاری از افراد این غذای خوشمزه، ساده و جذاب مجسوب می‌شود.    سالاد الویه (به روسی: салат Оливье) سالادی روسی و نوعی غذای سرد است که از طبخ گوشت یا مرغ یا کالباس به همراه سیب‌زمینی آب‌پز و سس مایونز و خیارشور و دیگر مواد غذایی درست می‌شود. این سالاد در ایران به «سالاد الیویه» و «سالاد الویه» و در اروپا و آمریکای لاتین به «سالاد روسی» معروف است.    این سالاد در سدهٔ نوزدهم میلادی توسط لوسین الیویه، سرآشپز بلژیکیِ فرانسوی‌تبارِ «رستوران اِرمیتاژ» در مسکو ابداع شد و به‌تدریج در کشور روسیه، کشورهای اروپایی، و بسیاری دیگر از کشورهای جهان طرفداران زیادی پیدا کرد. این سالاد سال‌هاست که به‌عنوان یکی از اقلام اصلیِ شام شب سال نو در روسیه و کشورهای شوروی سابق <a href=""https://parsiday.com/885-olivier-salad/"">قلمداد</a> می‌شود.  <h2>جدول ارزش غذایی سالاد الویه</h2>  <table width=""613"">  <tbody>  <tr>  <td colspan=""3"" width=""214"">سالاد الويه</td>  <td colspan=""6"" width=""399"">سيب زميني آب پز، خيارشور، مرغ آب پز ريش ريش شده، نخود فرنگي، هويج، سس مايونز، فلفل قرمز، نمك، آبليمو</td>  </tr>  <tr>  <td>انرژي</td>  <td>چربي كل</td>  <td>كربوهيدرات كل</td>  <td>فيبر رژيمی</td>  <td>پروتئين</td>  <td>كلسيم</td>  <td>سديم</td>  <td>پتاسيم</td>  <td>اهن</td>  </tr>  <tr>  <td>278 كالری</td>  <td>25 گرم</td>  <td>8 گرم</td>  <td>0.9 گرم</td>  <td>5 گرم</td>  <td>10 ميلي گرم</td>  <td>161 ميلي گرم</td>  <td>206 ميلي گرم</td>  <td></td>  </tr>  <tr>  <td>فسفر</td>  <td>روی</td>  <td>ويتامين A</td>  <td>ويتامين C</td>  <td>ويتامين D</td>  <td>ويتامين E</td>  <td>ويتامين B6</td>  <td>ويتامين B12</td>  <td>اسيد فوليك</td>  </tr>  <tr>  <td>54 ميلي گرم</td>  <td>0.4 ميلي گرم</td>  <td>55 IU</td>  <td>8 ميلي گرم</td>  <td>0.1 IU</td>  <td>6.16 IU</td>  <td>0.23 ميلي گرم</td>  <td>0.32 ميكرو گرم</td>  <td>16 ميكرو گرم</td>  </tr>  <tr>  <td colspan=""9"">ميزان انرژي، درشت مغذي ها و ريز مغذي ها در 100 گرم سالاد مي باشد.</td>  </tr>  </tbody>  </table>  &nbsp;  <h3>خوشمزه و بهداشتی</h3>  استفاده از غذاهای آماده و نیمه آماده یک راه حل کاربردی برای افراد پرمشغله است که فرصت کافی برای پخت انواع غذا را ندارند.  ساندویچ الویه، وعده‌ای همه‌پسند برای مراسمات، پیک‌نیک‌ها و  دورهمی‌هاست. مجموعه بامیکا با تولید انواع غذاها و سالادهای آماده و سالم امکان دسترسی فوری افراد به غذاهایی با اصالت خانگی را فراهم کرده است.    سالادهای بامیکا را می‌توان با خیالی آسوده از بهداشتی بودن محصول، سرو کرد. اگر به دنبال سالادی فوری و  درعین حال سلامت هستید، الویه بامیکا یک انتخاب عالی برا شماست.    &nbsp;  <h3>صنایع غذایی بامیکا</h3>  در سال ۱۳۸۵ تاسیس و در سال ۱۳۸۸ به عنوان اولین تولید کننده سالاد آماده مصرف در ایران با هدف تولید محصولات تازه از سبزیجات و میوه ها شروع به تولید و توزیع با نام تجاری بامیکا کرد.    سالادهای بسته‌بندی و سبزیجات آماده مصرف بامیکا، هم‌اکنون در ابعاد بسیار وسیع در رستوران‌ها، فروشگاه‌های زنجیره‌ای، ارگان‌ها و ادارات ارائه می‌شود. افتخار ما این است که در این زمینه پیشرو بوده‌ایم.    ماموریت ما سلامت، سهولت استفاده و سرعت؛ همراه با تنوع، تازگی و خوشمزگی در تولید و عرضه سالاد، سبزی و میوه برای زندگی سالم‌تر، طولانی‌تر و پر نشاط‌تر برای مصرف‌کنندگان است.",<h4><strong>⭐الویه داخل ساندویچ فاقد تخم مرغ می‌باشد</strong></h4>  <h5><strong>مواد اولیه تشکیل دهنده:</strong></h5>  <ul>    <li><strong>مرغ پخته شده</strong></li>    <li><strong>سيب زمينی پخته شده</strong></li>    <li><strong>خيارشور</strong></li>    <li><strong>نخود فرنگی</strong></li>    <li><strong>هويج</strong></li>    <li><strong>سس مايونز کم چرب</strong></li>    <li><strong>آبليمو تازه</strong></li>    <li><strong>گوجه فرنگی اسلایس</strong></li>  </ul>,olive-sandwich,product,publish
3113,24071,0,ساندویچ رست بیف بامیکا,"<h2>ساندویچ رست بیف</h2>  <b>روست بیف</b> (<span dir=""ltr"" lang=""en"">Roast beef</span>‎) گوشت گاو است که در فر آشپزی بو داده می‌شود، در اصل به عنوان یک وعده غذایی اصلی شمرده می‌شود، رست بیف را به شکل های مختلف پرسی و ساندویچی می‌توان سرو کرد. غذاهای گوشتی همیشه از لذیذترین غذاهاست که همه ی دنیا طرفدارهای زیادی داره. ما ایرانی ها هم که اکثرا عاشق غذاهای گوشتی هستیم! چون هم تنوع غذا با گوشت خیلی زیاده و هم خیلی لذیذ هستند.    ساندویچ رست بیف یکی از پرطرفدارترین ساندویچ‌های در حال حاضر است که به دلیل نوع پخت آن طرفداران زیادی دارد. این غذا اولین بار در کشور انگلیس به شیوه‌ای دیگر و در فر پخته می‌شده است. در حال حاضر این غذا به صورت ساندویچ در آمده که تقریبا می‌توان گفت طعم آن برای همگان جذاب و دوست داشتنی است.",<h3>مواد تشکیل دهنده:</h3>  &nbsp;  <ul>    <li>نان ساندویچی</li>    <li>سس مخصوص</li>    <li>پنیر پیتزا</li>    <li>چیپس خلالی</li>    <li>گوجه فرنگی</li>    <li>کاهو پیچ</li>    <li>فیله گوشت گوساله</li>    <li>قارچ تفت داده شده</li>  </ul>,roast-beef-sandwich,product,publish
3114,24073,0,ساندویچ مرغ و قارچ پنیر بامیکا,"<h2>“ساندویچ مرغ و قارچ” پنیری</h2>  اگر از علاقه مندان به <strong><a href=""https://shop.bamika.ir/product-category/foods/main-course/sandwichs/"">ساندویچ</a> </strong>هستید مطمعن باشید از این ساندویچ خاص خوشتان خواهد آمد. حتما می پرسید چرا این ساندویچ خاص است؟ علتش ترکیب لذیذ پنیر، قارچ و مرغ است، این ساندویچ را حتما امتحان کنید چون ارزش‌ آن را دارد. ساندویچ مرغ می‌تواند به کسانی که سعی دارند وزن کم کنند، در این مسیر <a href=""https://panamag.ir/505-sandevich-morgh/"">کمک</a> کند. پروتئین موجود در مرغ، از درشت مغذی‌های  سیر کننده است که دیر هضم می‌شود. پنیر علاوه بر پروتئین چربی‌های سالم نیز دارد. این محصول بامیکا در بسته بندی بهداشتی توزیع می‌گردد.  <h2>خوشمزه و بهداشتی</h2>  استفاده از غذاهای آماده و نیمه آماده یک راه حل کاربردی برای افراد پرمشغله است که فرصت کافی برای پخت انواع غذا را ندارند. مجموعه بامیکا با تولید انواع غذاهای آماده و سالم امکان دسترسی فوری افراد به غذاهایی با اصالت خانگی را فراهم کرده است.    این   غذای آماده در بسته های یک نفره تولید شده است؛  و میتوان با گرم کردن در مایکروویو با خیالی آسوده از بهداشتی بودن محصول، آن را سرو کرد. اگر به دنبال غذایی فوری و  درعین حال سلامت هستید، ساندویچ مرغ و قارچ و پنیر یک خوشمزه دوس داشتنی‌ است.    تیم صنایع غذایی بامیکا  همواره تلاش می‌کند تا از تازه ترین مواد اولیه، سالم ترین خوراکیه دلپذیر را با تنوعی رنگین و کیفیت بسیار برای شما و خانواده عزیزتان تولید کند.  تمام فرآیند تولید محصولات بامیکا در محیطی پاکیزه و تحت نظر بازرسان بهداشتی انجام می‌گردد.    &nbsp;",😋 <strong>اگر ساندویچ مرغ و قارچ و پنیر بامیکارا نوش جان کردید، نظر خودرا باما به اشتراک بگذارید.</strong>  <h3>مواد اولیه 🥣</h3>  <ul>    <li>سینه مرغ</li>    <li>پیاز</li>    <li>سس فرانسوی</li>    <li>پنیر پیتزا</li>    <li>چیپس خلالی</li>    <li>قارچ اسلایس</li>  </ul>,bamika-cheese-and-chicken-sandwich,product,publish
3115,24078,0,ساندویچ بیف چیکن بامیکا,,,beef-chicken-sandwich,product,publish
3131,23014,0,ته چین مرغ و بادمجان,مواد تشکیل دهنده:  (برنج، کره، زعفران، ماست، تخم مرغ، نمک، مرغ، زرشک، بادام، بادمجان),,%d8%aa%d9%87-%da%86%db%8c%d9%86-%d9%85%d8%b1%d8%ba-%d9%88-%d8%a8%d8%a7%d8%af%d9%85%d8%ac%d8%a7%d9%86,product,publish
